見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
下記施設を無料開放します近代美術館・博物館：11月1日（日）※近代美術館の特別展は有料自然博物館：11月11日（水）,,,,,,,,,,,,,,
「関西文化の日」のお知らせ11月14日（土）・15日（日）の「関西文化の日」に、青字施設を無料開放し、近代美術館・博物館の開館時間を19時30分まで延長します。参加する関西一円の文化施設の無料開放日は要確認。問い合わせ：関西文化の日事務局電話06-4964-8844関西文化の日のページへリンク,,,,,,,,,,,,,,
県立近代美術館,073-436-8690,073-436-1337,〒640-8137和歌山市吹上1-4-14,9:30?17:00（入館は16:30まで）,月曜 （祝日の場合次の平日） ,特別展「もうひとつの日本美術史?近現代版画の名作2020」,展示,?11月23日（祝）,,,,,,
県立近代美術館,073-436-8690,073-436-1337,〒640-8137和歌山市吹上1-4-14,9:30?17:00（入館は16:30まで）,月曜 （祝日の場合次の平日） ,企画展「和歌山県立近代美術館 コレクションの50年」,展示,?12月20日（日）,,,,,,
県立博物館,073-436-8670,073-436-6643,〒640-8137和歌山市吹上1-4-14,9:30?17:00（入館は16:30まで）,月曜 （祝日の場合次の平日） ,創建1250年記念特別展「国宝粉河寺縁起と粉河寺の歴史」,展示,?11月23日（祝）,,,,,,
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,月曜 （祝日の場合次の平日） ,フトシ先生と観（み）る風土記の植物(3),イベント,11月28日（土）13:30?15:30,,小学生以上,15人（先着順）,,11月12日13:00?,
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,月曜 （祝日の場合次の平日） ,秋期特別展 特別展講座(2),イベント,11月29日（日）13:30?15:30,,小学生以上,30人（先着順）,,11月13日13:00?,
県立自然博物館,073-483-1777,073-483-2721,〒642-0001海南市船尾370-1,9:30～17:00（入館は16:30まで）,月曜 （祝日の場合次の平日） ,モササウルスの化石調査に参加しよう!!,イベント,12月6日（日）13:00?16:00,鳥屋城山周辺（有田川町）,小学生以上（小学生は保護者同伴）,20人（抽選）,,11月22日まで,
県植物公園緑花センター,0736-62-4029,0736-63-2570,〒649-6211岩出市東坂本672,9:00～17:00（入館は16:30まで）,火曜（祝日の場合次の平日） ,,,,,,,,,11月の花ごよみ　秋バラ、コダチダリア、ケイトウ、マリーゴールド
県植物公園緑花センター,0736-62-4029,0736-63-2570,〒649-6211岩出市東坂本672,9:00～17:00（入館は16:30まで）,火曜（祝日の場合次の平日） ,緑和会盆栽展,展示,11月14日（土）?15日（日）,,,,,,
県植物公園緑花センター,0736-62-4029,0736-63-2570,〒649-6211岩出市東坂本672,9:00～17:00（入館は16:30まで）,火曜（祝日の場合次の平日） ,寒らん展,展示,11月21日（土）?22日（日）,,,,,,
県植物公園緑花センター,0736-62-4029,0736-63-2570,〒649-6211岩出市東坂本672,9:00～17:00（入館は16:30まで）,火曜（祝日の場合次の平日） ,冬の洋ラン展,展示,12月4日（金）?6日（日）,,,,,,
片男波公園万葉館・健康館,073-446-5553,073-446-5554,〒641-0022和歌山市和歌浦南3-1700,9:00～17:00（入館は16:30まで） ,,体験教室(1)ポーセラーツ(2)押し花額,イベント,(1)11月15日（日）10:00?12:00(2)11月15日（日）13:00?15:00,,小学生以上（小学生は保護者同伴）,各10人（先着順）,"(1)1,000円～(2)2,000円", 事前申込,
片男波公園万葉館・健康館,073-446-5553,073-446-5554,〒641-0022和歌山市和歌浦南3-1700,9:00～17:00（入館は16:30まで） ,,企画展「万葉洋画展」,展示,11月19日（木）～令和3年1月24日（日）,,,,,,※マスク着用のご協力をお願いします。
県立図書館,073-436-9500,073-436-9501,〒641-0051和歌山市西高松1-7-38,9:00?19:00（土日祝は18:00まで）,月曜（祝日の場合次の平日）　毎月第2木曜 ,南葵（なんき）音楽文庫アカデミー 冬,イベント,(1)金曜カレッジ 12月4日（金）14:00?16:00(2)土曜カレッジ 12月5日（土）13:30?15:30(3)日曜カレッジ 12月6日（日）10:00?12:00,(1)(3)県立図書館(2)情報交流センターBig・U（田辺市）,,各60人（先着順）,,11月5日～,※11月10?20日まで資料点検のため休館します。
県動物愛護センター,073-489-6500,073-489-6504,〒640-1251紀美野町国木原372,10:00～17:00 ,火曜 ,犬・猫の飼い方講習会及び譲渡会,イベント,(1)11月8日（日）・16日（月）・22日（日）、12月2日（水）・13日（日）・27日（日）11:00?(2)11月13日（金）11:00?(3)11月18日（水）13:30?,(1)県動物愛護センター(2)湯浅保健所(3)海南保健所,,,,,"※譲渡を受けるには受講と、犬については狂犬病予防ワクチン接種代2,700円が必要です。※県動物愛護センターでは譲渡会を常時開催しています"
南紀熊野ジオパークセンター,0735-67-7100,0735-67-7191,〒649-3502串本町潮岬2838-3,9:00～17:00,,潮岬の海岸でビーチコーミング（漂着物の収集・観察）,イベント,(1)ビーチコーミング　11月21日（土）13:00?15:00,潮岬周辺（串本町）,小学生以上（小学生は保護者同伴）,15人（先着順）,,事前申込,
南紀熊野ジオパークセンター,0735-67-7100,0735-67-7191,〒649-3502串本町潮岬2838-3,9:00～17:00,,潮岬の海岸でビーチコーミング（漂着物の収集・観察）,イベント,(2)漂着物の展示 11月25日（水）?12月5日（土）,,,,,,
